Probe Set ID,GSM1008929_Salinity_T.CEL(normalized),GSM1008930_Salinity_C.CEL(normalized)
PsAffx.CL123Contig1_at,-0.18183756,0.18183756
PsAffx.CL124Contig1_at,-0.1943698,0.1943698
PsAffx.CL125Contig3_at,0.16378212,-0.16378212
PsAffx.CL126Contig2_at,0.17204595,-0.17204595
PsAffx.CL128Contig2_s_at,0.0476079,-0.0476079
PsAffx.CL129Contig1_at,0,0
PsAffx.CL130Contig1_at,-0.11357689,0.11357713
PsAffx.CL132Contig1_at,-0.08631849,0.08631849
PsAffx.CL132Contig2_at,-0.09092116,0.09092116
PsAffx.CL133Contig1_at,-0.23144865,0.23144865
PsAffx.CL134Contig1_at,0.111028194,-0.111028194
PsAffx.C46000016_at,0.0476079,-0.0476079
PsAffx.CL136Contig1_at,0,0
PsAffx.CL137Contig1_at,-0.10441041,0.10441041
PsAffx.CL138Contig1_at,0.025225878,-0.025225878
PsAffx.CL139Contig1_at,0,0
PsAffx.CL141Contig1_at,-0.02842474,0.02842474
PsAffx.CL143Contig1_at,-0.033153296,0.033153296
PsAffx.CL144Contig1_at,-0.044741154,0.044741392
PsAffx.CL145Contig1_at,-0.03459716,0.03459716
PsAffx.CL145Contig2_at,-0.07442212,0.07442212
PsAffx.CL146Contig1_at,-0.14259934,0.1425991
PsAffx.CL147Contig1_s_at,-0.21655345,0.21655345
PsAffx.CL148Contig1_at,0,0
PsAffx.CL149Contig1_at,-0.04617977,0.04617977
PsAffx.CL150Contig1_at,0.04189372,-0.04189372
PsAffx.CL151Contig1_at,0.09936142,-0.09936142
PsAffx.CL153Contig1_at,-0.15408397,0.15408373
PsAffx.CL154Contig1_at,0.04900694,-0.04900694
PsAffx.CL155Contig1_at,0,0
PsAffx.CL156Contig1_at,0.1355424,-0.1355424
PsAffx.CL157Contig1_at,-0.23084474,0.23084474
PsAffx.CL158Contig1_at,0.009724379,-0.009724379
PsAffx.CL159Contig1_at,0.05035448,-0.05035448
PsAffx.CL160Contig1_at,0.043308496,-0.043308496
PsAffx.CL161Contig1_at,-0.16378212,0.16378212
PsAffx.CL162Contig1_at,0.05035448,-0.05035448
PsAffx.CL163Contig1_at,0.22373152,-0.22373152
PsAffx.CL164Contig1_at,0.04699564,-0.04699564
PsAffx.CL165Contig1_at,0.16783738,-0.16783714
PsAffx.CL166Contig1_at,0.04050684,-0.04050684
PsAffx.CL167Contig1_at,0.12994385,-0.12994385
PsAffx.CL169Contig1_at,-0.009656906,0.009656906
PsAffx.CL171Contig1_at,-0.10997152,0.10997152
PsAffx.CL172Contig1_at,-0.15402842,0.15402842
PsAffx.CL174Contig1_at,0,0
PsAffx.CL175Contig1_at,-0.07925844,0.07925844
PsAffx.CL178Contig1_at,-0.19314909,0.19314909
PsAffx.CL180Contig1_at,0.04900694,-0.04900694
PsAffx.CL181Contig1_at,-0.039155126,0.039155006
PsAffx.CL182Contig1_at,-0.15098548,0.15098524
PsAffx.CL183Contig1_at,0.090688705,-0.090688944
PsAffx.CL184Contig2_at,-0.043308496,0.043308496
PsAffx.CL185Contig1_at,0.10441065,-0.10441041
PsAffx.CL186Contig1_at,-0.0476079,0.0476079
PsAffx.CL186Contig1_s_at,-0.05162382,0.05162382
PsAffx.CL188Contig1_at,0.10768819,-0.10768819
PsAffx.C11000084_at,0.055865526,-0.055865526
PsAffx.CL192Contig1_at,0,0
PsAffx.CL193Contig1_at,-0.09936142,0.09936142
PsAffx.CL194Contig1_at,0.08240056,-0.08240032
PsAffx.CL194Contig1_s_at,0,0
PsAffx.CL195Contig1_at,-0.06479025,0.06479025
PsAffx.CL196Contig1_at,-0.1019783,0.1019783
PsAffx.CL197Contig1_at,0.055506468,-0.055506468
PsAffx.CL197Contig3_at,-0.23024607,0.23024607
PsAffx.CL198Contig1_at,-0.117506266,0.117506266
PsAffx.CL199Contig1_at,0.12896585,-0.12896585
PsAffx.C7000246_at,0.04050684,-0.04050684
PsAffx.CL201Contig1_at,0.022544384,-0.022544384
PsAffx.CL202Contig1_at,0.03459716,-0.03459716
PsAffx.CL203Contig1_at,0.10997152,-0.10997152
PsAffx.CL203Contig3_at,-0.022756815,0.022756815
PsAffx.CL205Contig1_at,0,0
PsAffx.CL206Contig1_at,-0.16984987,0.16984987
PsAffx.CL207Contig1_at,0.04992819,-0.04992819
PsAffx.CL208Contig1_at,-0.028895617,0.028895617
PsAffx.CL209Contig1_at,-0.080160856,0.080160856
PsAffx.CL210Contig1_at,0.036745787,-0.03674555
PsAffx.CL210Contig1_s_at,-0.09936142,0.09936142
PsAffx.C163000021_at,0,0
PsAffx.CL212Contig1_at,-0.04617977,0.04617977
PsAffx.CL214Contig2_at,0,0
PsAffx.CL215Contig1_at,-0.08240056,0.08240056
PsAffx.CL216Contig1_at,0.02705717,-0.02705717
PsAffx.CL220Contig1_at,-0.10659695,0.10659695
PsAffx.CL221Contig1_at,-0.3132453,0.3132453
PsAffx.CL223Contig1_at,-0.14279449,0.14279461
PsAffx.CL224Contig1_at,-0.044447422,0.044447184
PsAffx.CL225Contig1_at,-0.08240056,0.08240056
PsAffx.CL226Contig1_at,-0.25012445,0.25012445
PsAffx.C49000034_s_at,0,0
PsAffx.CL228Contig1_at,-0.014256477,0.014256239
PsAffx.CL230Contig1_at,-0.24477291,0.24477291
PsAffx.CL231Contig1_at,0.1019783,-0.1019783
PsAffx.CL232Contig1_at,0,0
PsAffx.CL233Contig1_at,-0.051768303,0.051768303
PsAffx.C16000117_s_at,0.14971781,-0.14971781
PsAffx.CL234Contig1_at,-0.028449535,0.028449535
PsAffx.CL235Contig1_at,0.10441041,-0.10441041
PsAffx.CL236Contig1_at,0.08240056,-0.08240032
PsAffx.CL237Contig1_at,0,0
PsAffx.CL239Contig1_at,-0.117550135,0.117550135
PsAffx.CL240Contig1_s_at,0.03239417,-0.03239417
PsAffx.CL241Contig1_at,-0.13713026,0.13713002
PsAffx.CL242Contig1_at,0.05278635,-0.05278635
PsAffx.CL243Contig1_at,-0.050354242,0.050354242
PsAffx.CL244Contig1_at,-0.01881361,0.01881361
PsAffx.CL245Contig1_at,0,0
PsAffx.CL245Contig1_s_at,-0.0490067,0.04900694
PsAffx.C55000060_at,0,0
