geneID,Mt_Mapped_count,Mt_RPKM,H2O_Mapped_count,H2O_RPKM,NaCl_Mapped_count,NaCl_RPKM,Na&Mt_Mapped_count,Na&Mt_RPKM
Glyma01g01730.1|PACid:16243065,593,9.084,1134,17.288,382,4.7,744,7.071
Glyma01g01740.1|PACid:16243066,247,6.82,246,6.76,257,5.699,387,6.63
Glyma01g01740.2|PACid:16243067,127,4.268,114,3.812,143,3.859,184,3.836
Glyma01g01750.1|PACid:16243068,126,2.699,129,2.75,145,2.494,164,2.179
Glyma01g01770.1|PACid:16243070,141,4.643,551,18.055,579,15.311,831,16.977
Glyma01g01770.2|PACid:16243071,81,3.476,386,16.486,297,10.236,562,14.964
Glyma01g01780.1|PACid:16243072,70,0.717,69,0.703,73,0.6,175,1.112
Glyma01g01790.1|PACid:16243073,127,3.567,8,0.224,11,0.248,1,0
Glyma01g01790.2|PACid:16243074,70,2.266,6,0,5,0,5,0
Glyma01g01800.1|PACid:16243075,52,2.346,46,2.065,41,1.485,69,1.931
Glyma01g01800.2|PACid:16243076,47,2.12,57,2.559,50,1.812,74,2.071
Glyma01g01800.3|PACid:16243077,45,2.03,42,1.886,60,2.174,85,2.379
Glyma01g01820.1|PACid:16243079,12,0,23,0,30,0,34,0
Glyma01g01830.1|PACid:16243080,647,24.387,896,33.61,1266,38.324,1454,34.004
Glyma01g01840.1|PACid:16243081,178,6.622,144,5.331,175,5.229,200,4.617
Glyma01g01840.2|PACid:16243082,139,5.648,127,5.136,148,4.83,180,4.538
Glyma01g01850.1|PACid:16243083,458,6.702,192,2.796,505,5.935,322,2.924
Glyma01g01860.1|PACid:16243084,383,6.225,197,3.186,105,1.371,254,2.561
Glyma01g01870.1|PACid:16243085,148,9.15,120,7.383,257,12.761,167,6.406
Glyma01g01890.1|PACid:16243087,759,23.698,614,19.078,1859,46.614,1046,20.263
Glyma01g01900.1|PACid:16243088,425,8.339,664,12.965,679,10.699,972,11.833
Glyma01g01900.2|PACid:16243089,398,7.809,647,12.633,597,9.407,932,11.346
Glyma01g01900.3|PACid:16243090,450,8.829,692,13.512,639,10.069,947,11.528
Glyma01g01900.4|PACid:16243091,389,7.633,599,11.696,624,9.833,820,9.982
Glyma01g01900.5|PACid:16243092,330,7.385,520,11.581,538,9.67,687,9.539
Glyma01g01900.6|PACid:16243093,247,5.528,558,12.428,443,7.962,605,8.401
Glyma01g01910.1|PACid:16243094,1172,36.198,811,24.927,2104,52.189,1952,37.406
Glyma01g01910.2|PACid:16243095,399,16.933,322,13.599,972,33.129,701,18.458
Glyma01g01920.1|PACid:16243096,19,0.627,22,0.723,20,0.53,23,0.471
Glyma01g01930.1|PACid:16243097,58,3.444,85,5.022,58,2.766,128,4.715
Glyma01g01930.2|PACid:16243098,79,4.69,88,5.199,85,4.053,116,4.273
Glyma01g01940.1|PACid:16243099,859,76.302,418,36.95,977,69.696,1613,88.895
Glyma01g01950.1|PACid:16243100,765,31.306,910,37.061,1013,33.293,1484,37.68
Glyma01g01960.1|PACid:16243101,216,9.033,190,7.907,208,6.986,307,7.966
Glyma01g01970.1|PACid:16243102,13,1.318,8,0.807,18,1.466,11,0.692
Glyma01g01970.2|PACid:16243103,7,0.716,6,0.611,10,0.822,15,0.952
Glyma01g01980.1|PACid:16243104,0,0,0,0,0,0,3,0
Glyma01g01990.1|PACid:16243105,486,12.054,610,15.056,710,14.142,879,13.526
Glyma01g02030.1|PACid:16243108,74,1.154,53,0.822,67,0.839,54,0.522
